"V1","V2","V3","V4","V5","V6"
0.895,0.997,0.105,0.28915125100573,0.322831294631074,0.0394189640545701
0.98,0.98,0.194,0.300008463021621,0.336314023920608,0.0746955373938042
0.967,0.997,0.259,0.308030639660305,0.346282222687097,0.100623441746344
0.952,0.996,0.313,0.315213065723804,0.355227186022475,0.123458597632075
0.922,0.991,0.369,0.323387929109309,0.365492362322077,0.147952460314103
0.99,0.99,0.498,0.341603145230235,0.38830013508764,0.203845449825373
0.965,0.995,0.487,0.342805253073647,0.38993731473682,0.204541433070314
0.953,0.993,0.57,0.355671856371944,0.406101670037976,0.242785599863517
0.938,0.994,0.607,0.363072852898791,0.41551847775142,0.262547421304615
0.941,0.991,0.638,0.367858554398152,0.421590486321922,0.275848533190563
0.986,0.986,0.693,0.377827901105416,0.434179996165399,0.303624423047617
0.979,0.979,0.725,0.384529360161667,0.442709529557411,0.321407335161988
0.967,0.994,0.748,0.392878066783143,0.453437888874525,0.341240107087868
0.949,0.99,0.764,0.397792806078864,0.459688674522368,0.353480039106543
0.96,0.992,0.796,0.404084268369622,0.467710862827369,0.370232265109222
0.932,0.985,0.822,0.412948943299766,0.479037847762142,0.391915138499682
0.982,0.982,0.803,0.412896561255969,0.479109105533523,0.389003330269314
0.972,0.972,0.836,0.42434434468127,0.4937391447598,0.417100869508999
0.971,0.992,0.822,0.422859486314668,0.491894578017965,0.412093935505531
0.969,0.995,0.893,0.435412613335287,0.507951257863315,0.442931760214817
0.962,0.989,0.891,0.435593956334119,0.508165874951251,0.444023611487315
0.947,0.987,0.9,0.441001226265789,0.515115946139269,0.455438359343729
0.954,0.987,0.919,0.44801140598897,0.524144126255623,0.471368039859722
0.982,0.982,0.909,0.4475549216199,0.523572169185649,0.469595966515152
0.983,0.983,0.921,0.455797640702344,0.534219170633681,0.485996231212267
0.968,0.968,0.926,0.461894581141464,0.542036036400426,0.500440544817667
0.972,0.992,0.93,0.461441509987604,0.541445537202359,0.49964821703387
0.941,0.997,0.941,0.468530667692554,0.550626899332857,0.513771520974628
0.922,0.982,0.767,0.471119209764666,0.553926377157485,0.519477651786433
0.9,0.986,0.828,0.472634163326678,0.556020900062945,0.519452537968057
0.921,0.958,0.873,0.479308609260927,0.564644379273081,0.533659776864545
0.961,0.961,0.843,0.480120028404522,0.565575427771963,0.536430072997516
0.968,0.968,0.882,0.482909880321474,0.569252858275522,0.541952114839652
0.952,0.952,0.864,0.483603743629179,0.57014799314391,0.542465296916912
0.959,0.981,0.881,0.489246526449203,0.577421991189908,0.553506626681698
0.965,0.984,0.894,0.490651043917039,0.579224749072425,0.556728895924821
0.953,0.979,0.889,0.4911081138895,0.579851094664156,0.556582949050777
0.958,0.981,0.904,0.494183569909037,0.583823629821804,0.562681109025179
0.94,0.978,0.895,0.496591170220529,0.586920619095028,0.567590826525411
0.981,0.981,0.886,0.495642375288449,0.585682936337014,0.565916427569418
0.937,0.978,0.892,0.499008610767736,0.590066403268798,0.571354513431958
0.959,0.98,0.959,0.502886360220749,0.595088605020655,0.579109519271418
0.944,0.968,0.944,0.50275186724406,0.5949048666826,0.578402347656601
0.947,0.977,0.947,0.5019055061851,0.593794282319918,0.577749834272179
0.954,0.97,0.89,0.505753693969471,0.598761097708468,0.584046811615958
0.948,0.975,0.892,0.506418217799472,0.599631932381166,0.585024169346977
0.942,0.977,0.877,0.506035618928183,0.599122632537379,0.584963073199344
0.935,0.973,0.869,0.505782873393647,0.598795799182782,0.583891447266239
0.947,0.979,0.91,0.507040105915012,0.600448320709499,0.586343782306177
0.976,0.976,0.889,0.506091904995178,0.599220198825284,0.5842992334187
0.934,0.976,0.888,0.506615206592064,0.599883726146517,0.585353310443875
0.937,0.977,0.879,0.506074227762613,0.599183316965736,0.584645858593361
0.949,0.972,0.894,0.506104700119622,0.599219000660745,0.584663687736989
0.94,0.973,0.877,0.505078471983608,0.5979019692817,0.582750767219883
0.96,0.978,0.873,0.504865757041183,0.597641102621114,0.582457470425896
0.943,0.971,0.943,0.50251817356379,0.594582851297328,0.578120170219316
0.949,0.985,0.949,0.502169017518558,0.59410607426717,0.577855619069146
0.952,0.981,0.952,0.503311399608092,0.595622306531548,0.579100973760123
0.947,0.984,0.895,0.499830674539871,0.591119916682052,0.573366279137149
0.985,0.985,0.891,0.497674806133802,0.588327073235452,0.568802064001377
0.953,0.982,0.907,0.497311198996677,0.587850687774469,0.568808748581432
0.942,0.978,0.895,0.495403753643581,0.585418282557166,0.564191869989846
0.944,0.975,0.897,0.494612895785738,0.584392014933968,0.563260348925233
0.954,0.983,0.907,0.492411310190838,0.58156228248434,0.55958571769979
0.96,0.984,0.893,0.489648753895511,0.577951401581529,0.554689053683678
0.959,0.959,0.884,0.486583171381736,0.574005263245638,0.548238085646203
0.966,0.966,0.88,0.483934987711013,0.57057613991094,0.542826836506933
0.971,0.971,0.881,0.484781251806498,0.571645751677273,0.545234716902498
0.911,0.95,0.839,0.474964619527008,0.559032738001054,0.524065050796169
0.923,0.983,0.836,0.474470072144005,0.558339416985867,0.524941131703047
0.927,0.988,0.79,0.472380714330476,0.555587413436183,0.521365782527163
0.919,0.994,0.919,0.467384999388445,0.5491759896142,0.510008404772897
0.98,0.997,0.935,0.461561612394612,0.541639996523851,0.499404344925428
0.968,0.968,0.931,0.465634938240039,0.546889530231557,0.507995399255024
0.981,0.981,0.935,0.458977950279309,0.538282491713001,0.494672648750363
0.984,0.984,0.919,0.451564726747365,0.528743838619026,0.478106466868639
0.943,0.99,0.911,0.44777738887623,0.523907431361889,0.468887067812437
0.95,0.99,0.921,0.446452281424639,0.522100822212849,0.468353344719795
0.96,0.99,0.909,0.440538863670086,0.514489452708261,0.455840911951342
0.966,0.996,0.897,0.434003969280314,0.506070148237801,0.440889919016088
0.971,0.994,0.849,0.426261561304741,0.496113150338665,0.422914740269055
0.986,0.986,0.833,0.419370399444902,0.487393305077609,0.405327086894798
0.985,0.985,0.829,0.415168961329914,0.481896297539613,0.397172102293133
0.944,0.986,0.814,0.413009446651783,0.479210984746827,0.390514229260328
0.949,0.988,0.795,0.40430784030048,0.467973474798962,0.371148206833614
0.957,0.994,0.765,0.398408351564286,0.460532827574843,0.354109575656522
0.974,0.99,0.737,0.390038915383716,0.449763782814862,0.334841020578865
0.981,0.981,0.736,0.386576784086362,0.445245708557228,0.327844195918314
0.98,0.98,0.677,0.376079534114175,0.431996661473422,0.297955234142052
0.925,0.986,0.68,0.373146107404709,0.4281489682129,0.292682440162559
0.941,0.992,0.597,0.362866894909389,0.415324908600478,0.260810272309269
0.96,0.992,0.562,0.35438626771724,0.404476220895078,0.239245382076376
0.973,0.994,0.512,0.345243483602131,0.39291463796196,0.213535251230048
0.986,0.986,0.461,0.335743688448838,0.380922335277668,0.186492911825739
0.909,0.99,0.435,0.331344115224442,0.375375376159272,0.173768928062784
0.935,0.995,0.332,0.318193494112556,0.359001891651349,0.131881583376703
0.953,0.992,0.297,0.313310516113063,0.352885562831832,0.116851272095016
0.986,0.986,0.185,0.298628504517232,0.334577726859641,0.0706048901805941
0.907,0.996,0.093,0.287913240402991,0.321311806660592,0.0350803988284382
